Typ;Datum;Uhrzeit;Gefundener String
2;08.06.2023;08:00:00;ST schaut auf Kinder
2;11.06.2023;08:00:00;ST schaut auf Kinder
2;10.06.2023;08:00:00;ST schaut auf Kinder
2;09.06.2023;08:00:00;ST schaut auf Kinder
1;12.06.2023;17:00:00;ER schaut auf Kinder
2;26.06.2023;07:00:00;ST macht Kinder
2;30.06.2023;07:00:00;ST macht Kinder
2;28.06.2023;07:00:00;ST macht Kinder
2;29.06.2023;07:00:00;ST macht Kinder
2;27.06.2023;07:00:00;ST macht Kinder
2;02.07.2023;07:00:00;ST macht Kinder
2;01.07.2023;07:00:00;ST macht Kinder
2;03.07.2023;07:00:00;ST macht Kinder
2;04.07.2023;07:00:00;ST macht Kinder
2;05.07.2023;07:00:00;ST macht Kinder
1;07.07.2023;07:00:00;ER macht Kinder
2;06.07.2023;07:00:00;ST macht Kinder
2;08.07.2023;07:00:00;ST macht Kinder
1;09.07.2023;07:00:00;ER macht Kinder
1;28.06.2023;16:00:00;ER schaut auf Kinder
2;16.07.2023;07:00:00;ST macht Kinder
1;15.07.2023;07:00:00;ER macht Kinder
1;14.07.2023;07:00:00;ER macht Kinder
2;13.07.2023;07:00:00;ST macht Kinder
2;12.07.2023;07:00:00;ST macht Kinder
2;10.07.2023;07:00:00;ST macht Kinder
2;11.07.2023;07:00:00;ST macht Kinder
1;18.07.2023;07:00:00;ER macht Kinder
1;19.07.2023;07:00:00;ER macht Kinder
1;17.07.2023;06:30:00;ER macht Kinder
2;20.07.2023;07:00:00;ST macht Kinder
2;20.08.2023;08:00:00;ST hat Kinder
2;19.08.2023;08:00:00;ST hat Kinder
2;18.08.2023;08:00:00;ST hat Kinder
2;17.08.2023;08:00:00;ST hat Kinder
2;16.08.2023;08:00:00;ST hat Kinder
2;15.08.2023;08:00:00;ST hat Kinder
2;14.08.2023;08:00:00;ST hat Kinder
2;13.08.2023;08:00:00;ST hat Kinder
2;12.08.2023;08:00:00;ST hat Kinder
2;11.08.2023;08:00:00;ST hat Kinder
2;10.08.2023;08:00:00;ST hat Kinder
1;09.08.2023;08:30:00;ER macht Kinder
1;08.08.2023;08:00:00;ER macht Kinder
1;07.08.2023;08:00:00;ER macht Kinder
2;21.07.2023;08:00:00;ST macht Kinder
1;15.10.2023;07:00:00;ER hat Kinder
1;14.10.2023;07:00:00;ER hat Kinder
